Department,ATC5,Order_number,Order_name,Strength,Type_of_Medicine,Package_size,Cost,Number_of_Packages,Cost_w1,Number_of_Packages_w1,Cost_w2,Number_of_Packages_w2,Cost_w3,Number_of_Packages_w3,Cost_w4,Number_of_Packages_w4,Cost_w5,Number_of_Packages_w5,Cost_w6,Number_of_Packages_w6,Cost_w7,Number_of_Packages_w7,Cost_w8,Number_of_Packages_w8,Cost_w9,Number_of_Packages_w9,Cost_w10,Number_of_Packages_w10,Cost_w11,Number_of_Packages_w11,Cost_w12,Number_of_Packages_w12,Cost_w13,Number_of_Packages_w13,Cost_w14,Number_of_Packages_w14,Cost_w15,Number_of_Packages_w15,Cost_w16,Number_of_Packages_w16,Cost_w17,Number_of_Packages_w17,Cost_w18,Number_of_Packages_w18,Cost_w19,Number_of_Packages_w19,Cost_w20,Number_of_Packages_w20,Cost_w21,Number_of_Packages_w21,Cost_w22,Number_of_Packages_w22,Cost_w23,Number_of_Packages_w23,Cost_w24,Number_of_Packages_w24,Cost_w25,Number_of_Packages_w25,Cost_w26,Number_of_Packages_w26,Cost_w27,Number_of_Packages_w27,Cost_w28,Number_of_Packages_w28,Cost_w29,Number_of_Packages_w29,Cost_w30,Number_of_Packages_w30,Cost_w31,Number_of_Packages_w31,Cost_w32,Number_of_Packages_w32,Cost_w33,Number_of_Packages_w33,Cost_w34,Number_of_Packages_w34,Cost_w35,Number_of_Packages_w35,Cost_w36,Number_of_Packages_w36,Cost_w37,Number_of_Packages_w37,Cost_w38,Number_of_Packages_w38,Cost_w39,Number_of_Packages_w39,Cost_w40,Number_of_Packages_w40,Cost_w41,Number_of_Packages_w41,Cost_w42,Number_of_Packages_w42,Cost_w43,Number_of_Packages_w43,Cost_w44,Number_of_Packages_w44,Cost_w45,Number_of_Packages_w45,Cost_w46,Number_of_Packages_w46,Cost_w47,Number_of_Packages_w47,Cost_w48,Number_of_Packages_w48,Cost_w49,Number_of_Packages_w49,Cost_w50,Number_of_Packages_w50,Cost_w51,Number_of_Packages_w51,Cost_w52,Number_of_Packages_w52,Portionsize,Quantity
"F, Department of Ortorhinolaryngology",B05BA03,740167,Glukose isotonisk SAD,55 g/l,infusionsvæske,500 ml,668.4,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.71,1.0,,,,,334.2,20.0,,,,,,,,,317.49,19.0,,,,,,,,,,,,,,,,,,,500.0,1.0
"F, Department of Ortorhinolaryngology",B05BA10,154640,SmofKabiven,_,"inf.væske, emulsion",4 x 1970 ml (4 x 2200 kcal),936.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.3,1.0,,,,,,,,,1970.0,4.0
"F, Department of Ortorhinolaryngology",B05BA10,154717,SmofKabiven Perifer,_,"inf.væske, emulsion",4 x 1904 ml (4x1300 kcal),1760.18,2.0,880.09,1.0,,,,,,,,,,,,,,,,,,,880.09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904.0,4.0
"F, Department of Ortorhinolaryngology",B05BB01,409894,Calciumgluconat 2care4,100 mg/ml,"inj.væske, opløsning",20 x 10 ml.,125.64,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.64,1.0,,,,,,,,,,,10.0,20.0
"F, Department of Ortorhinolaryngology",B05BB01,740027,Ringer-laktat SAD,_,infusionsvæske,1000 ml,256.56,12.0,,,,,,,,,85.52,4.0,,,,,,,,,42.76,2.0,,,,,,,,,,,,,,,,,,,,,,,,,21.38,1.0,,,,,,,,,,,21.38,1.0,,,,,,,,,,,,,,,,,21.38,1.0,,,,,,,,,64.14,3.0,,,,,,,,,,,,,,,,,,,1000.0,1.0
"F, Department of Ortorhinolaryngology",B05BB01,740035,Natriumklorid isotonisk SAD,9 g/l,infusionsvæske,1000 ml,718.58,38.0,,,,,,,,,168.75,9.0,,,,,,,,,,,,,,,,,,,76.52,4.0,,,,,,,,,95.65,5.0,,,,,19.13,1.0,,,76.52,4.0,38.26,2.0,,,,,,,,,,,,,,,,,18.75,1.0,,,,,93.75,5.0,,,,,,,,,131.25,7.0,,,,,,,,,,,,,,,,,,,1000.0,1.0
"F, Department of Ortorhinolaryngology",B05BB01,740142,Natriumklorid isotonisk SAD,9 g/l,infusionsvæske,500 ml,210.6,12.0,,,,,,,,,,,,,,,,,,,17.55,1.0,,,,,,,,,175.5,10.0,,,,,,,,,17.55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,1.0
"F, Department of Ortorhinolaryngology",B05BB01,747931,Natriumklorid isotonisk SAD,9 g/l,infusionsvæske,250 ml,208.6,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.2,8.0,14.9,1.0,,,74.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,1.0
"F, Department of Ortorhinolaryngology",B05BB02,721094,Glukose-Kalium,20mM K+/50g Glukose i 500 ml,infusionsvæske,500 ml,206.46,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.46,6.0,,,,,,,,,,,,,,,,,,,500.0,1.0
"F, Department of Ortorhinolaryngology",B05BB02,740092,Natriumklorid-glukose isotonis,_,infusionsvæske,1000 ml,353.88,18.0,,,,,,,,,78.64,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.58,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.66,1.0,,,,,,,,,,,,,,,,,,,1000.0,1.0
"F, Department of Ortorhinolaryngology",C01CA24,183660,Jext,300 mikrogram,"inj.væske, opl., pen",1 stk.,259.72,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.72,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
"F, Department of Ortorhinolaryngology",C01CA24,744425,Adrenalin SAD,1 mg/ml,injektionsvæske,1 ml amp x10,152.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,1.0,,,,,,,,,,,1.0,10.0
"F, Department of Ortorhinolaryngology",C01DA02,526624,Nitrolingual,"0,4 mg/dosis",sublingualspray,200 doser,52.41,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.41,1.0,,,,,,,,,,,0.0,200.0
"F, Department of Ortorhinolaryngology",C05AA01,165019,Proctosedyl,_,rektalsalve,Tube a 30 g,132.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.15,1.0,,,,,,,,,,,30.0,1.0
"F, Department of Ortorhinolaryngology",C07AB02,182416,Metoprololsuccinat Hexal,50 mg,depottabletter,100 stk.,16.6,1.0,,,,,,,,,,,,,,,16.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",C09AA02,408642,Enalapril Sandoz,5 mg,tabletter,125 stk.,34.75,1.0,,,,,,,,,,,,,,,,,,,,,,,34.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,125.0
"F, Department of Ortorhinolaryngology",C10AA01,58541,Simvastatin Sandoz,20 mg,filmovertrukne tabl.,120 stk.,9.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15,1.0,0.0,120.0
"F, Department of Ortorhinolaryngology",C10AA01,506895,Simvastatin Sandoz,20 mg,filmovertrukne tabl.,100 stk. (blister),10.5,1.0,,,,,,,,,,,,,,,,,10.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",D03AX03,210119,Panthenol Faaborg,_,salve,25 ml,709.03,49.0,,,,,,,,,,,,,289.4,20.0,,,,,,,,,289.4,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.94,2.0,,,28.94,2.0,,,,,14.47,1.0,,,,,,,,,,,,,,,,,,,,,,,,,28.94,2.0,,,,,,,,,28.94,2.0,25.0,1.0
"F, Department of Ortorhinolaryngology",D07AB02,400422,Locoid,"0,10%",creme,30 g,85.86,3.0,,,,,,,57.24,2.0,,,,,,,,,,,,,,,28.62,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0
"F, Department of Ortorhinolaryngology",D07CA01,54262,Hydrocortison med Terramycin,10 + 30 mg/g,salve,15 g,438.35,7.0,,,,,,,,,,,,,,,,,,,,,,,329.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.57,1.0,,,,,,,,,,,,,,,,,,,,,,,,,54.48,1.0,,,,,,,,,,,15.0,1.0
"F, Department of Ortorhinolaryngology",H02AB02,517803,Dexavit,4 mg/ml,"inj.-/inf.vsk.,opl.",3 x 1 ml,26.53,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.53,1.0,,,,,,,,,,,1.0,3.0
"F, Department of Ortorhinolaryngology",H02AB04,533979,Solu-Medrol lactosefri,40 mg,pulv.og sol.t.inj.op,1 to-delt htgl.+solv. u/kons.,181.76,8.0,,,,,,,,,,,,,,,181.76,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"F, Department of Ortorhinolaryngology",H02AB09,161117,Solu-cortef,100 mg,pulv.og sol.t.inj.op,5 to-delte htgl. + solvens,140.85,1.0,140.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"F, Department of Ortorhinolaryngology",H02AB09,454378,Solu-cortef,100 mg,pulv.og sol.t.inj.op,5 to-delte htgl.+solv. u/kons.,139.45,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.45,1.0,,,,,,,,,,,0.0,0.0
"F, Department of Ortorhinolaryngology",H03AA01,74702,Eltroxin,50 mikrogram,tabletter,100 stk.,30.0,1.0,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",J01CA01,111845,Ampicillin STADA,2 g,"pulv.t.inj.væske,opl",1 stk.,336.96,8.0,,,,,,,,,,,,,,,,,,,,,,,336.96,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
"F, Department of Ortorhinolaryngology",J01CE01,505503,Benzylpenicillin Panpharma,"0,6 g","pul.t.inj.+inf.,opl.","10 x 0,6 g (1 mill. IE)",54.44,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.44,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,10.0
"F, Department of Ortorhinolaryngology",J01CE01,546838,Benzylpenicillin Panpharma,"1,2 g","pul.t.inj.+inf.,opl.","10 x 1,2 g (2 mill. IE)",136.36,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,68.18,1.0,,,,,,,,,,,1.2,10.0
"F, Department of Ortorhinolaryngology",J01CE02,87653,Pancillin,1 Mill. IE,filmovertrukne tabl.,100 stk. (blister),52.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",J01CF01,43175,Dicloxacillin Alternova,500 mg,"kapsler, hårde",100 stk.,212.9,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.52,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.38,1.0,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",J01CF02,551489,Cloxacillin Macure,1 g,"pul.t.inj.+inf.,opl.",10 x 1 g,350.0,1.0,,,,,,,,,,,,,,,,,,,,,,,350.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0
"F, Department of Ortorhinolaryngology",J01CR02,474783,Bioclavid,500 mg + 125 mg,filmovertrukne tabl.,30 stk. (blister),20.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,1.0,,,0.0,30.0
"F, Department of Ortorhinolaryngology",J01CR02,553311,Amoxicillin/clavulansyre Auro,500 mg+125 mg,filmovertrukne tabl.,30 stk. (blister),214.0,10.0,,,,,,,,,,,,,,,,,,,,,,,214.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0
"F, Department of Ortorhinolaryngology",J01CR05,513935,Piperacil/Tazobact Fres. Kabi,"4+0,5 g","pulv.t.inf.væske,opl",10 stk.,2510.9,14.0,,,,,,,,,,,,,,,717.4,4.0,,,,,1793.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0
"F, Department of Ortorhinolaryngology",J01DC02,79142,Cefuroxim Fresenius Kabi,1500 mg,"pul.t.inj.+inf.,opl.","10 x 1,5 g",1124.55,21.0,,,,,,,267.75,5.0,,,,,,,321.3,6.0,,,,,535.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,10.0
"F, Department of Ortorhinolaryngology",J01DC02,133174,Cefuroxim Stragen,750 mg,"pul.t.inj.+inf.,opl.",10 stk.,40.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,1.0,,,0.0,10.0
"F, Department of Ortorhinolaryngology",J01DC02,444892,Cefuroxim Stragen,1500 mg,"pul.t.inj.+inf.,opl.",10 stk.,55.47,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.47,1.0,,,0.0,10.0
"F, Department of Ortorhinolaryngology",J01FA09,66825,Clarithromycin Hexal,500 mg,filmovertrukne tabl.,20 stk. (blister),51.86,2.0,51.86,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0
"F, Department of Ortorhinolaryngology",J01FA10,23767,Azithromycin Sandoz,500 mg,filmovertrukne tabl.,3 stk. (blister),48.0,4.0,,,,,,,48.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
"F, Department of Ortorhinolaryngology",J01FF01,459420,Dalacin,150 mg/ml,"inj.væske, opløsning",4 ml,864.72,24.0,,,,,,,,,,,,,,,,,,,,,,,864.72,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0
"F, Department of Ortorhinolaryngology",J01MA02,449510,Ciprofloxacin Fresenius Kabi,2 mg/ml,"inf.væske, opløsning",10 x 200 ml (KabiPac),66.07,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.07,1.0,,,200.0,10.0
"F, Department of Ortorhinolaryngology",J01XA01,144309,Bactocin,500 mg,"pulv.t.inf.væske,opl",5 stk.,156.14,2.0,,,,,,,,,,,,,156.14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
"F, Department of Ortorhinolaryngology",J01XD01,193605,Metronidazol Baxter Viaflo,5 mg/ml,"inf.væske, opløsning",60 x 100 ml,745.2,4.0,,,,,,,,,,,,,,,,,,,,,745.2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,60.0
"F, Department of Ortorhinolaryngology",J07AL02,552928,Prevenar 13,_,"inj.væske,suspension","0,5 ml (Orifarm)",403.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0
"F, Department of Ortorhinolaryngology",M01AB05,1959,Diclodan,100 mg,suppositorier,50 stk. (blister),260.0,1.0,,,,,,,,,,,,,,,,,,,,,,,260.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0
"F, Department of Ortorhinolaryngology",M01AE01,27363,Ibumetin,400 mg,filmovertrukne tabl.,250 stk.,102.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7,2.0,,,,,,,,,,,0.0,250.0
"F, Department of Ortorhinolaryngology",M01AH01,189454,Celecoxib Stada,200 mg,"kapsler, hårde",100 stk. (blister),302.4,6.0,,,,,,,,,,,,,,,,,,,,,,,151.2,3.0,151.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",N01BB02,437249,Xylocaine,10 mg/dosis,"kutanspray, opløsn.",50 ml,282.53,3.0,,,,,,,,,,,,,188.38,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1.0
"F, Department of Ortorhinolaryngology",N01BB02,720191,Lidocain viskøs m lakridssmag,20 mg/ml,oral gel,100 ml,1083.12,24.0,,,,,,,361.04,8.0,,,,,,,,,225.65,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.65,5.0,,,45.13,1.0,,,225.65,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0
"F, Department of Ortorhinolaryngology",N01BB20,558386,Emla,25+25 mg,medicinsk plaster,20 stk.,269.52,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.52,1.0,,,,,,,,,,,0.0,20.0
"F, Department of Ortorhinolaryngology",N01BB52,720202,Lidokain-adrenalin til lokal-,"20 + 6,7 mg/ml",kutanopløsning,30 ml,762.0,6.0,,,,,,,,,,,381.0,3.0,,,,,381.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0
"F, Department of Ortorhinolaryngology",N01BB52,742478,Lidokain-adrenalin SAD,20 mg/5 mikrog/ml,injektionsvæske,5 ml amp x10,605.92,4.0,,,,,,,,,,,,,,,,,,,,,454.44,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.48,1.0,,,,,,,,,,,5.0,10.0
"F, Department of Ortorhinolaryngology",N02AX02,399510,Tradolan,50 mg,filmovertrukne tabl.,100 stk. (blister),87.04,2.0,,,,,,,,,,,,,,,,,18.04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",N02BE01,64318,Paracetamol Orifarm,500 mg,filmovertrukne tabl.,300 stk.,22.54,1.0,,,,,,,,,22.54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0
"F, Department of Ortorhinolaryngology",N02BE01,83644,Panodil,500 mg,filmovertrukne tabl.,300 stk.,51.72,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,1.0,,,,,,,,,,,0.0,300.0
"F, Department of Ortorhinolaryngology",N02BE01,87612,Paracetamol B. Braun,10 mg/ml,"inf.væske, opløsning",10 x 100 ml,141.05,4.0,,,,,34.37,1.0,106.68,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,10.0
"F, Department of Ortorhinolaryngology",N02BE01,433126,Panodil Brus,500 mg,brusetabletter,20 stk. (blister),45.57,3.0,,,,,,,,,,,,,,,,,45.57,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0
"F, Department of Ortorhinolaryngology",N02BE01,871970,Paracetamol (ls),10 mg/ml,"inf.væske, opløsning",20 x 100 ml,497.84,7.0,,,,,,,,,,,,,,,142.24,2.0,,,,,,,355.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,20.0
"F, Department of Ortorhinolaryngology",N02AA01,553451,Sendolor,20 mg/ml,"inj.væske, opløsning",10 x 1 ml,182.17,2.0,,,,,,,,,,,,,,,91.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.07,1.0,1.0,10.0
"F, Department of Ortorhinolaryngology",N02AA01,563502,Contalgin,5 mg,depottabletter,100 stk. (blister),72.21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",N02AA01,722363,MORfin,5 mg/ml,injektionsvæske,10 x 2 ml,242.0,2.0,,,,,,,,,,,,,,,242.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0
"F, Department of Ortorhinolaryngology",N02AA01,743435,Morfin SAD,10 mg,tabletter,100 stk,166.0,3.0,,,,,,,,,,,,,,,,,,,,,,,110.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"F, Department of Ortorhinolaryngology",N02AA05,5685,Oxynorm,5 mg,"kapsler, hårde",98 stk. (blister),147.34,3.0,50.67,1.0,,,50.67,1.0,,,,,,,,,,,,,,,,,46.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,98.0
"F, Department of Ortorhinolaryngology",N02AA05,588435,Reltebon Depot,5 mg,depottabletter,28 stk. (blister),20.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.25,1.0,,,,,,,,,,,0.0,28.0
"F, Department of Ortorhinolaryngology",N03AX12,584738,Gabapenstad,300 mg,"kapsler, hårde",120 stk. (blister),27.59,1.0,,,,,,,,,,,,,,,,,,,,,,,27.59,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,120.0
